Feature_Selection,Optimizer,Loss_Function,Activation_Function,MAPE(%)
DecisionTree_70pct_03,Adam,MSE,ReLU,15.321183
DecisionTree_70pct_03,AdamW,SmoothL1Loss,LeakyReLU,10.179086
DecisionTree_70pct_03,AdamW,SmoothL1Loss,PReLU,9.356997
DecisionTree_70pct_03,AdamW,MSE,ELU,16.501833
DecisionTree_70pct_03,Adam,MSE,ELU,16.056065
DecisionTree_70pct_03,Adam,MAE,LeakyReLU,10.372666
DecisionTree_70pct_03,Adam,MSE,LeakyReLU,15.621109
DecisionTree_70pct_03,AdamW,MAE,PReLU,9.550193
DecisionTree_70pct_03,Adam,MAE,ELU,10.423246
DecisionTree_70pct_03,AdamW,SmoothL1Loss,ReLU,10.518532
DecisionTree_70pct_03,Adam,SmoothL1Loss,ELU,10.270204
DecisionTree_70pct_03,AdamW,MAE,ReLU,10.600328
DecisionTree_70pct_03,Adam,SmoothL1Loss,PReLU,9.393877
DecisionTree_70pct_03,AdamW,MSE,ReLU,15.478121
DecisionTree_70pct_03,AdamW,MAE,LeakyReLU,10.226306
DecisionTree_70pct_03,AdamW,MSE,PReLU,11.524796
XGBoost_50pct_03,AdamW,MAE,ELU,9.517099
XGBoost_50pct_03,Adam,MAE,ReLU,9.238661
XGBoost_50pct_03,AdamW,MSE,LeakyReLU,15.200637
XGBoost_50pct_03,Adam,SmoothL1Loss,ReLU,9.336225
XGBoost_50pct_03,Adam,SmoothL1Loss,LeakyReLU,9.047994
XGBoost_50pct_03,Adam,MSE,PReLU,12.756035
XGBoost_50pct_03,AdamW,SmoothL1Loss,ELU,9.331106
XGBoost_50pct_03,Adam,MAE,PReLU,8.360605
XGBoost_50pct_03,Adam,MSE,ReLU,14.892472
XGBoost_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.075949
XGBoost_50pct_03,AdamW,SmoothL1Loss,PReLU,8.289172
XGBoost_50pct_03,AdamW,MSE,ELU,20.481733
XGBoost_50pct_03,Adam,MSE,ELU,20.33215
XGBoost_50pct_03,Adam,MAE,LeakyReLU,9.138889
XGBoost_50pct_03,Adam,MSE,LeakyReLU,15.192707
XGBoost_50pct_03,AdamW,MAE,PReLU,8.3036785
XGBoost_50pct_03,Adam,MAE,ELU,9.64655
XGBoost_50pct_03,AdamW,SmoothL1Loss,ReLU,9.443996
XGBoost_50pct_03,Adam,SmoothL1Loss,ELU,9.519711
XGBoost_50pct_03,AdamW,MAE,ReLU,9.354636
XGBoost_50pct_03,Adam,SmoothL1Loss,PReLU,8.262638
XGBoost_50pct_03,AdamW,MSE,ReLU,15.7450285
XGBoost_50pct_03,AdamW,MAE,LeakyReLU,9.251269
XGBoost_50pct_03,AdamW,MSE,PReLU,11.733425
